complaint_id,date_complaint,date_resolved,category,zone,department,priority,citizen_satisfaction,resolution_delay
C00000,2024-04-12,2024-05-06,Safety,Central,Sanitation,High,5,24
C00001,2024-12-14,2025-01-11,Traffic,South,Safety Dept,Low,1,28
C00002,2024-09-27,2024-10-07,Road,South,Traffic Dept,Low,3,10
C00003,2024-04-16,2024-04-23,Road,Central,Sanitation,Low,2,7
C00004,2024-03-12,2024-04-09,Garbage,East,Electric Dept,High,5,28
C00005,2024-07-07,2024-07-24,Road,North,Drainage Dept,High,3,17
C00006,2024-01-21,2024-01-25,Lights,Central,Safety Dept,Low,1,4
C00007,2024-04-12,2024-05-11,Garbage,Central,Sanitation,Low,1,29
C00008,2024-05-01,2024-05-14,Drainage,South,Safety Dept,Low,2,13
C00009,2024-08-02,2024-08-06,Traffic,South,Water Dept,Medium,3,4
C00010,2024-11-26,2024-12-01,Garbage,North,Safety Dept,Medium,3,5
C00011,2024-03-28,2024-04-23,Drainage,South,Safety Dept,High,5,26
C00012,2024-04-09,2024-05-01,Garbage,West,Roads Dept,High,1,22
C00013,2024-12-25,2024-12-29,Water,South,Electric Dept,High,4,4
C00014,2024-05-31,2024-06-18,Water,South,Drainage Dept,Medium,5,18
C00015,2024-05-10,2024-05-16,Garbage,West,Drainage Dept,Low,5,6
C00016,2024-05-29,2024-06-22,Safety,North,Roads Dept,Medium,5,24
C00017,2024-11-04,2024-11-28,Road,West,Safety Dept,Low,2,24
C00018,2024-09-14,2024-10-07,Water,Central,Drainage Dept,Low,2,23
C00019,2024-12-09,2024-12-31,Safety,West,Traffic Dept,Low,5,22
C00020,2024-10-20,2024-10-22,Safety,East,Electric Dept,Medium,4,2
C00021,2024-07-10,2024-08-02,Traffic,Central,Water Dept,Medium,3,23
C00022,2024-10-03,2024-10-14,Drainage,South,Roads Dept,Medium,3,11
C00023,2024-06-09,2024-07-07,Lights,Central,Sanitation,Low,1,28
C00024,2024-11-09,2024-11-23,Water,North,Sanitation,Medium,3,14
C00025,2024-01-22,2024-01-27,Garbage,North,Sanitation,Low,3,5
C00026,2024-09-09,2024-09-15,Road,West,Electric Dept,Medium,4,6
C00027,2024-08-23,2024-09-02,Lights,Central,Water Dept,Low,3,10
C00028,2024-12-10,2024-12-18,Drainage,South,Drainage Dept,High,4,8
C00029,2024-02-18,2024-03-03,Safety,North,Water Dept,Medium,2,14
C00030,2024-02-28,2024-03-23,Drainage,South,Water Dept,Medium,4,24
C00031,2024-06-18,2024-06-21,Water,East,Roads Dept,Medium,2,3
C00032,2024-07-06,2024-07-18,Drainage,North,Electric Dept,Medium,4,12
C00033,2024-09-27,2024-10-13,Drainage,West,Sanitation,Low,5,16
C00034,2024-07-08,2024-08-05,Road,East,Roads Dept,Medium,2,28
C00035,2024-06-23,2024-07-16,Safety,Central,Drainage Dept,Low,2,23
C00036,2024-02-20,2024-03-08,Road,South,Water Dept,Low,3,17
C00037,2024-12-29,2024-12-30,Road,North,Safety Dept,Low,2,1
C00038,2024-02-24,2024-03-18,Garbage,East,Sanitation,High,4,23
C00039,2024-08-31,2024-09-10,Drainage,East,Electric Dept,Low,5,10
C00040,2024-11-15,2024-12-10,Drainage,North,Traffic Dept,Low,5,25
C00041,2024-05-10,2024-06-02,Drainage,Central,Water Dept,High,3,23
C00042,2024-11-02,2024-11-12,Traffic,Central,Water Dept,High,4,10
C00043,2024-05-14,2024-06-04,Road,West,Water Dept,Low,4,21
C00044,2024-01-21,2024-02-14,Lights,Central,Water Dept,High,1,24
C00045,2024-11-24,2024-11-26,Water,West,Sanitation,Low,2,2
C00046,2024-06-15,2024-06-24,Safety,East,Electric Dept,Medium,3,9
C00047,2024-09-30,2024-10-22,Lights,North,Roads Dept,Medium,5,22
C00048,2024-03-29,2024-04-11,Safety,Central,Sanitation,Medium,1,13
C00049,2024-11-11,2024-12-06,Garbage,West,Electric Dept,Medium,4,25
C00050,2024-01-14,2024-01-30,Garbage,East,Roads Dept,Low,2,16
C00051,2024-08-29,2024-09-16,Safety,Central,Water Dept,Low,5,18
C00052,2024-09-21,2024-10-10,Drainage,South,Electric Dept,Medium,1,19
C00053,2024-12-11,2024-12-23,Lights,East,Water Dept,Low,4,12
C00054,2024-02-22,2024-03-01,Drainage,Central,Safety Dept,High,5,8
C00055,2024-12-05,2024-12-22,Traffic,East,Electric Dept,Low,5,17
C00056,2024-04-01,2024-04-16,Garbage,North,Drainage Dept,Low,4,15
C00057,2024-09-20,2024-09-30,Garbage,North,Traffic Dept,Medium,4,10
C00058,2024-02-04,2024-02-19,Lights,North,Water Dept,Low,3,15
C00059,2024-07-24,2024-08-08,Garbage,South,Water Dept,Low,5,15
C00060,2024-03-21,2024-04-13,Traffic,North,Water Dept,Low,4,23
C00061,2024-02-19,2024-02-26,Traffic,South,Drainage Dept,High,1,7
C00062,2024-12-25,2025-01-07,Traffic,North,Sanitation,Low,2,13
C00063,2024-01-02,2024-01-19,Water,East,Roads Dept,Low,3,17
C00064,2024-02-23,2024-03-03,Traffic,Central,Water Dept,Low,4,9
C00065,2024-04-15,2024-04-23,Traffic,Central,Water Dept,Low,2,8
C00066,2024-09-16,2024-10-06,Water,North,Sanitation,Low,3,20
C00067,2024-11-05,2024-12-01,Drainage,Central,Sanitation,High,5,26
C00068,2024-07-09,2024-08-05,Road,North,Traffic Dept,High,2,27
C00069,2024-08-05,2024-08-26,Garbage,North,Electric Dept,Low,3,21
C00070,2024-02-13,2024-03-02,Traffic,West,Water Dept,Medium,4,18
C00071,2024-06-10,2024-06-23,Garbage,West,Electric Dept,High,4,13
C00072,2024-07-20,2024-08-05,Lights,West,Safety Dept,Low,3,16
C00073,2024-09-26,2024-10-05,Garbage,South,Sanitation,Low,5,9
C00074,2024-12-16,2024-12-28,Safety,West,Sanitation,High,3,12
C00075,2024-10-30,2024-11-11,Drainage,North,Traffic Dept,Medium,1,12
C00076,2024-09-27,2024-10-03,Water,East,Roads Dept,Low,3,6
C00077,2024-08-02,2024-08-21,Garbage,West,Drainage Dept,Low,3,19
C00078,2024-09-08,2024-10-06,Garbage,West,Drainage Dept,Low,4,28
C00079,2024-07-08,2024-07-15,Garbage,East,Drainage Dept,Low,5,7
C00080,2024-10-22,2024-11-16,Road,North,Sanitation,Medium,3,25
C00081,2024-07-31,2024-08-03,Road,South,Water Dept,Medium,2,3
C00082,2024-07-26,2024-08-11,Lights,West,Traffic Dept,Medium,4,16
C00083,2024-08-24,2024-09-11,Water,East,Roads Dept,Low,4,18
C00084,2024-12-03,2024-12-19,Garbage,North,Safety Dept,Low,3,16
C00085,2024-02-22,2024-03-16,Garbage,Central,Drainage Dept,Low,2,23
C00086,2024-10-06,2024-10-13,Garbage,South,Traffic Dept,High,3,7
C00087,2024-08-04,2024-08-08,Garbage,East,Sanitation,Medium,2,4
C00088,2024-09-08,2024-10-05,Road,East,Drainage Dept,Low,4,27
C00089,2024-07-06,2024-07-31,Drainage,East,Roads Dept,Low,2,25
C00090,2024-02-10,2024-02-18,Drainage,West,Safety Dept,High,3,8
C00091,2024-06-05,2024-06-18,Lights,Central,Electric Dept,Medium,1,13
C00092,2024-01-15,2024-01-28,Safety,South,Safety Dept,Low,1,13
C00093,2024-10-27,2024-11-13,Traffic,North,Roads Dept,Low,2,17
C00094,2024-03-05,2024-03-22,Water,North,Safety Dept,Low,3,17
C00095,2024-12-10,2024-12-15,Drainage,Central,Water Dept,High,5,5
C00096,2024-11-22,2024-11-28,Safety,East,Drainage Dept,Medium,1,6
C00097,2024-01-09,2024-01-28,Garbage,East,Drainage Dept,Medium,4,19
C00098,2024-12-09,2024-12-22,Drainage,East,Electric Dept,High,3,13
C00099,2024-05-08,2024-06-02,Lights,East,Safety Dept,High,3,25
C00100,2024-05-15,2024-06-12,Traffic,East,Electric Dept,Low,1,28
C00101,2024-03-03,2024-03-29,Drainage,Central,Safety Dept,Low,5,26
C00102,2024-05-18,2024-06-01,Lights,West,Drainage Dept,Low,4,14
C00103,2024-03-21,2024-04-12,Road,South,Water Dept,Low,5,22
C00104,2024-06-11,2024-06-15,Traffic,East,Safety Dept,Medium,4,4
C00105,2024-10-15,2024-11-12,Lights,West,Electric Dept,High,1,28
C00106,2024-09-17,2024-09-24,Safety,North,Sanitation,Medium,3,7
C00107,2024-08-18,2024-08-26,Drainage,Central,Drainage Dept,Low,4,8
C00108,2024-02-10,2024-03-06,Road,West,Roads Dept,Low,3,25
C00109,2024-01-28,2024-02-10,Safety,East,Roads Dept,Low,2,13
C00110,2024-05-14,2024-06-10,Lights,East,Water Dept,High,2,27
C00111,2024-07-19,2024-07-25,Lights,East,Sanitation,Low,1,6
C00112,2024-11-23,2024-11-29,Safety,West,Electric Dept,Low,1,6
C00113,2024-09-24,2024-10-18,Drainage,East,Safety Dept,Low,1,24
C00114,2024-02-02,2024-03-01,Traffic,West,Drainage Dept,High,2,28
C00115,2024-02-17,2024-03-09,Road,East,Roads Dept,Medium,4,21
C00116,2024-03-02,2024-03-05,Garbage,North,Roads Dept,High,5,3
C00117,2024-08-03,2024-08-31,Water,North,Roads Dept,Medium,1,28
C00118,2024-10-19,2024-10-22,Traffic,South,Roads Dept,Medium,5,3
C00119,2024-04-08,2024-04-21,Road,East,Traffic Dept,Low,5,13
C00120,2024-06-20,2024-07-12,Safety,East,Water Dept,Low,2,22
C00121,2024-12-25,2024-12-27,Lights,West,Electric Dept,Medium,4,2
C00122,2024-08-01,2024-08-17,Safety,West,Drainage Dept,High,2,16
C00123,2024-02-04,2024-02-26,Road,East,Drainage Dept,Low,1,22
C00124,2024-08-14,2024-09-12,Safety,South,Drainage Dept,Low,2,29
C00125,2024-04-10,2024-04-16,Safety,East,Electric Dept,Medium,2,6
C00126,2024-05-10,2024-05-18,Water,West,Water Dept,Low,2,8
C00127,2024-09-13,2024-10-06,Drainage,East,Sanitation,Medium,1,23
C00128,2024-01-05,2024-01-13,Water,West,Safety Dept,Low,1,8
C00129,2024-08-05,2024-08-30,Garbage,East,Safety Dept,Low,2,25
C00130,2024-09-11,2024-09-17,Garbage,Central,Water Dept,Low,2,6
C00131,2024-12-24,2025-01-07,Water,West,Roads Dept,Medium,5,14
C00132,2024-10-09,2024-10-12,Traffic,South,Safety Dept,Medium,4,3
C00133,2024-07-25,2024-08-04,Traffic,Central,Roads Dept,Low,5,10
C00134,2024-01-15,2024-01-18,Safety,East,Water Dept,High,4,3
C00135,2024-12-11,2025-01-07,Safety,West,Water Dept,Low,4,27
C00136,2024-02-11,2024-02-23,Lights,Central,Electric Dept,Low,2,12
C00137,2024-06-27,2024-07-14,Garbage,South,Electric Dept,Medium,5,17
C00138,2024-03-03,2024-03-30,Lights,West,Traffic Dept,Low,4,27
C00139,2024-12-17,2025-01-15,Garbage,Central,Drainage Dept,Medium,4,29
C00140,2024-08-18,2024-08-23,Water,Central,Traffic Dept,High,1,5
C00141,2024-08-28,2024-09-17,Traffic,Central,Drainage Dept,Medium,4,20
C00142,2024-02-21,2024-03-17,Safety,North,Roads Dept,Medium,2,25
C00143,2024-04-05,2024-04-14,Traffic,East,Traffic Dept,Medium,3,9
C00144,2024-08-09,2024-08-30,Water,West,Traffic Dept,Low,1,21
C00145,2024-08-18,2024-09-13,Lights,West,Sanitation,Low,3,26
C00146,2024-08-24,2024-09-13,Lights,West,Water Dept,Low,2,20
