complaint_id,date_complaint,date_resolved,category,zone,priority,department,citizen_satisfaction,complaint_text,resolution_delay,severity_score,complaint_month,complaint_month_name,complaint_day_of_week,complaint_week
CMP000001,2024-04-12,2024-05-06,Road Damage,North Zone,Medium,Roads Department,2,Road cracking in North Zone,24,2,4,April,Friday,15
CMP000002,2024-12-14,2025-01-11,Traffic Congestion,North Zone,High,Traffic Department,1,Road blocked due to congestion in North Zone,28,3,12,December,Saturday,50
CMP000003,2024-09-27,2024-10-07,Road Damage,West Zone,Medium,Roads Department,2,Large pothole on main road in West Zone,10,2,9,September,Friday,39
CMP000004,2024-04-16,2024-04-23,Garbage Collection,Central Zone,Medium,Sanitation Department,4,Overflowing trash bins in Central Zone,7,2,4,April,Tuesday,16
CMP000005,2024-03-12,2024-04-09,Water Supply,West Zone,Medium,Water Department,2,Low water pressure in West Zone,28,2,3,March,Tuesday,11
CMP000006,2024-07-07,2024-07-24,Water Supply,South Zone,Medium,Water Department,2,Low water pressure in South Zone,17,2,7,July,Sunday,27
CMP000007,2024-01-21,2024-01-25,Garbage Collection,North Zone,High,Sanitation Department,5,Garbage not collected for 3 days in North Zone,4,3,1,January,Sunday,3
CMP000008,2024-04-12,2024-05-11,Garbage Collection,West Zone,High,Sanitation Department,2,Missed garbage pickup in West Zone,29,3,4,April,Friday,15
CMP000009,2024-05-01,2024-05-14,Road Damage,North Zone,Medium,Roads Department,4,Road cracking in North Zone,13,2,5,May,Wednesday,18
CMP000010,2024-08-02,2024-08-06,Garbage Collection,West Zone,Medium,Sanitation Department,3,Garbage not collected for 3 days in West Zone,4,2,8,August,Friday,31
CMP000011,2024-11-26,2024-12-01,Water Supply,South Zone,Low,Water Department,4,No water since morning in South Zone,5,1,11,November,Tuesday,48
CMP000012,2024-03-28,2024-04-23,Traffic Congestion,Central Zone,High,Traffic Department,2,Heavy traffic jam in Central Zone,26,3,3,March,Thursday,13
CMP000013,2024-04-09,2024-05-01,Public Safety,East Zone,Medium,Police Department,1,Missing street signs in East Zone,22,2,4,April,Tuesday,15
CMP000014,2024-12-25,2024-12-29,Street Light Failure,South Zone,Medium,Electricity Department,4,Street light not working for a week in South Zone,4,2,12,December,Wednesday,52
CMP000015,2024-05-31,2024-06-18,Public Safety,Central Zone,Low,Police Department,2,Suspicious activity in Central Zone,18,1,5,May,Friday,22
CMP000016,2024-05-10,2024-05-16,Street Light Failure,South Zone,High,Electricity Department,4,Street light not working for a week in South Zone,6,3,5,May,Friday,19
CMP000017,2024-05-29,2024-06-22,Water Supply,South Zone,Low,Water Department,2,Water supply irregular in South Zone,24,1,5,May,Wednesday,22
